,Year,Region,Technology,Carrier,Value
0,2020,reg1,Natural_gas_supply,Natural_gas,0.0
1,2020,reg1,Oil_supply,Oil,4298770.128037153
2,2020,reg1,Wind_PP,Electricity,62218046.083333
3,2020,reg1,Hydro_PP,Electricity,643489689.5377041
4,2020,reg1,HFO_PP,Electricity,2127891213.3783903
5,2020,reg1,OCGT_PP,Electricity,0.0
6,2020,reg1,Elec_distribution,Final_electricity,2833598948.9994273
7,2020,reg2,Oil_supply,Oil,992.7831940867717
8,2020,reg2,Biomass_waste_supply,Biofuels_waste,0.0
9,2020,reg2,Geo_PP,Electricity,5459232288.244612
10,2020,reg2,Hydro_PP,Electricity,780990488.9256454
11,2020,reg2,HFO_PP,Electricity,491427.681072952
12,2020,reg2,BW_PP,Electricity,0.0
13,2020,reg2,Elec_distribution,Final_electricity,6240714204.85133
