,Year,Timesteps,Region,Technology,Carrier,Value
0,2020,1,reg1,HFO_PP,Oil,185.77086859340437
1,2020,2,reg1,HFO_PP,Oil,139.78554302041425
2,2020,3,reg1,HFO_PP,Oil,115.55620486073518
3,2020,4,reg1,HFO_PP,Oil,101.40058885630737
4,2020,5,reg1,HFO_PP,Oil,117.77503969971687
5,2020,6,reg1,HFO_PP,Oil,232.50510696285232
6,2020,7,reg1,HFO_PP,Oil,379.09251243234166
7,2020,8,reg1,HFO_PP,Oil,463.97504699218683
8,2020,9,reg1,HFO_PP,Oil,589.0716164362162
9,2020,10,reg1,HFO_PP,Oil,628.4350815332133
10,2020,11,reg1,HFO_PP,Oil,615.6579302737697
11,2020,12,reg1,HFO_PP,Oil,599.5538790469811
12,2020,13,reg1,HFO_PP,Oil,578.7904967478254
13,2020,14,reg1,HFO_PP,Oil,554.9159856068264
14,2020,15,reg1,HFO_PP,Oil,564.7418803376967
15,2020,16,reg1,HFO_PP,Oil,559.6643225073383
16,2020,17,reg1,HFO_PP,Oil,546.6954277842168
17,2020,18,reg1,HFO_PP,Oil,518.2785581697158
18,2020,19,reg1,HFO_PP,Oil,642.533130461953
19,2020,20,reg1,HFO_PP,Oil,850.8552666861124
20,2020,21,reg1,HFO_PP,Oil,822.3915687992992
21,2020,22,reg1,HFO_PP,Oil,708.8202163421247
22,2020,23,reg1,HFO_PP,Oil,494.06786340231525
23,2020,24,reg1,HFO_PP,Oil,309.2563392506684
24,2021,1,reg1,HFO_PP,Oil,0.0
25,2021,2,reg1,HFO_PP,Oil,0.0
26,2021,3,reg1,HFO_PP,Oil,0.0
27,2021,4,reg1,HFO_PP,Oil,0.0
28,2021,5,reg1,HFO_PP,Oil,0.0
29,2021,6,reg1,HFO_PP,Oil,0.0
30,2021,7,reg1,HFO_PP,Oil,0.0
31,2021,8,reg1,HFO_PP,Oil,115.118635004532
32,2021,9,reg1,HFO_PP,Oil,276.11324253247267
33,2021,10,reg1,HFO_PP,Oil,332.80539485836306
34,2021,11,reg1,HFO_PP,Oil,329.0557632930138
35,2021,12,reg1,HFO_PP,Oil,315.2706251710551
36,2021,13,reg1,HFO_PP,Oil,286.7339213162146
37,2021,14,reg1,HFO_PP,Oil,248.1925103623724
38,2021,15,reg1,HFO_PP,Oil,235.75864388851502
39,2021,16,reg1,HFO_PP,Oil,212.60800065358848
40,2021,17,reg1,HFO_PP,Oil,181.43067540304872
41,2021,18,reg1,HFO_PP,Oil,129.17952965466455
42,2021,19,reg1,HFO_PP,Oil,248.21429170898767
43,2021,20,reg1,HFO_PP,Oil,482.5046455039643
44,2021,21,reg1,HFO_PP,Oil,485.48161965520313
45,2021,22,reg1,HFO_PP,Oil,381.52428242447246
46,2021,23,reg1,HFO_PP,Oil,157.57748413905438
47,2021,24,reg1,HFO_PP,Oil,0.0
48,2022,1,reg1,HFO_PP,Oil,0.0
49,2022,2,reg1,HFO_PP,Oil,0.0
50,2022,3,reg1,HFO_PP,Oil,0.0
51,2022,4,reg1,HFO_PP,Oil,0.0
52,2022,5,reg1,HFO_PP,Oil,0.0
53,2022,6,reg1,HFO_PP,Oil,0.0
54,2022,7,reg1,HFO_PP,Oil,0.0
55,2022,8,reg1,HFO_PP,Oil,122.23264866149808
56,2022,9,reg1,HFO_PP,Oil,291.67342250822134
57,2022,10,reg1,HFO_PP,Oil,352.44270501262633
58,2022,11,reg1,HFO_PP,Oil,350.81708737261124
59,2022,12,reg1,HFO_PP,Oil,337.5775480300737
60,2022,13,reg1,HFO_PP,Oil,307.2119206403253
61,2022,14,reg1,HFO_PP,Oil,265.2196504804555
62,2022,15,reg1,HFO_PP,Oil,247.54846031464487
63,2022,16,reg1,HFO_PP,Oil,220.14554332415162
64,2022,17,reg1,HFO_PP,Oil,184.6841000313091
65,2022,18,reg1,HFO_PP,Oil,126.82517538860245
66,2022,19,reg1,HFO_PP,Oil,244.63180945111554
67,2022,20,reg1,HFO_PP,Oil,485.0320203946287
68,2022,21,reg1,HFO_PP,Oil,495.4064223547893
69,2022,22,reg1,HFO_PP,Oil,393.71109095858577
70,2022,23,reg1,HFO_PP,Oil,167.6010041275251
71,2022,24,reg1,HFO_PP,Oil,0.0
72,2023,1,reg1,HFO_PP,Oil,0.0
73,2023,2,reg1,HFO_PP,Oil,0.0
74,2023,3,reg1,HFO_PP,Oil,0.0
75,2023,4,reg1,HFO_PP,Oil,0.0
76,2023,5,reg1,HFO_PP,Oil,0.0
77,2023,6,reg1,HFO_PP,Oil,0.0
78,2023,7,reg1,HFO_PP,Oil,0.0
79,2023,8,reg1,HFO_PP,Oil,129.34666231846438
80,2023,9,reg1,HFO_PP,Oil,307.2336024839699
81,2023,10,reg1,HFO_PP,Oil,372.08001516688995
82,2023,11,reg1,HFO_PP,Oil,372.5784114522088
83,2023,12,reg1,HFO_PP,Oil,359.88447088909237
84,2023,13,reg1,HFO_PP,Oil,327.68991996443634
85,2023,14,reg1,HFO_PP,Oil,282.24679059853855
86,2023,15,reg1,HFO_PP,Oil,259.3382767407749
87,2023,16,reg1,HFO_PP,Oil,227.68308599471524
88,2023,17,reg1,HFO_PP,Oil,187.93752465956948
89,2023,18,reg1,HFO_PP,Oil,124.47082112253999
90,2023,19,reg1,HFO_PP,Oil,241.04932719324316
91,2023,20,reg1,HFO_PP,Oil,487.5593952852941
92,2023,21,reg1,HFO_PP,Oil,505.33122505437717
93,2023,22,reg1,HFO_PP,Oil,405.8978994926988
94,2023,23,reg1,HFO_PP,Oil,177.62452411599625
95,2023,24,reg1,HFO_PP,Oil,0.0
96,2024,1,reg1,HFO_PP,Oil,0.0
97,2024,2,reg1,HFO_PP,Oil,0.0
98,2024,3,reg1,HFO_PP,Oil,0.0
99,2024,4,reg1,HFO_PP,Oil,0.0
100,2024,5,reg1,HFO_PP,Oil,0.0
101,2024,6,reg1,HFO_PP,Oil,0.0
102,2024,7,reg1,HFO_PP,Oil,0.0
103,2024,8,reg1,HFO_PP,Oil,136.46067597543046
104,2024,9,reg1,HFO_PP,Oil,322.7937824597184
105,2024,10,reg1,HFO_PP,Oil,391.7173253211536
106,2024,11,reg1,HFO_PP,Oil,394.3397355318069
107,2024,12,reg1,HFO_PP,Oil,382.1913937481104
108,2024,13,reg1,HFO_PP,Oil,348.1679192885466
109,2024,14,reg1,HFO_PP,Oil,299.2739307166209
110,2024,15,reg1,HFO_PP,Oil,271.12809316690334
111,2024,16,reg1,HFO_PP,Oil,235.22062866527875
112,2024,17,reg1,HFO_PP,Oil,191.19094928782962
113,2024,18,reg1,HFO_PP,Oil,122.11646685647729
114,2024,19,reg1,HFO_PP,Oil,237.46684493536935
115,2024,20,reg1,HFO_PP,Oil,490.08677017595903
116,2024,21,reg1,HFO_PP,Oil,515.2560277539643
117,2024,22,reg1,HFO_PP,Oil,418.08470802681245
118,2024,23,reg1,HFO_PP,Oil,187.6480441044668
119,2024,24,reg1,HFO_PP,Oil,0.0
120,2025,1,reg1,HFO_PP,Oil,0.0
121,2025,2,reg1,HFO_PP,Oil,0.0
122,2025,3,reg1,HFO_PP,Oil,0.0
123,2025,4,reg1,HFO_PP,Oil,0.0
124,2025,5,reg1,HFO_PP,Oil,0.0
125,2025,6,reg1,HFO_PP,Oil,0.0
126,2025,7,reg1,HFO_PP,Oil,0.0
127,2025,8,reg1,HFO_PP,Oil,143.57468963239583
128,2025,9,reg1,HFO_PP,Oil,338.35396243546467
129,2025,10,reg1,HFO_PP,Oil,411.3546354754151
130,2025,11,reg1,HFO_PP,Oil,416.1010596114027
131,2025,12,reg1,HFO_PP,Oil,404.49831660712925
132,2025,13,reg1,HFO_PP,Oil,368.64591861265734
133,2025,14,reg1,HFO_PP,Oil,316.30107083470426
134,2025,15,reg1,HFO_PP,Oil,282.9179095930332
135,2025,16,reg1,HFO_PP,Oil,242.7581713358425
136,2025,17,reg1,HFO_PP,Oil,194.44437391609
137,2025,18,reg1,HFO_PP,Oil,119.76211259041388
138,2025,19,reg1,HFO_PP,Oil,233.88436267749745
139,2025,20,reg1,HFO_PP,Oil,492.6141450666244
140,2025,21,reg1,HFO_PP,Oil,525.1808304535514
141,2025,22,reg1,HFO_PP,Oil,430.2715165609259
142,2025,23,reg1,HFO_PP,Oil,197.6715640929363
143,2025,24,reg1,HFO_PP,Oil,0.0
144,2026,1,reg1,HFO_PP,Oil,0.0
145,2026,2,reg1,HFO_PP,Oil,0.0
146,2026,3,reg1,HFO_PP,Oil,0.0
147,2026,4,reg1,HFO_PP,Oil,0.0
148,2026,5,reg1,HFO_PP,Oil,0.0
149,2026,6,reg1,HFO_PP,Oil,0.0
150,2026,7,reg1,HFO_PP,Oil,0.0
151,2026,8,reg1,HFO_PP,Oil,150.68870328936273
152,2026,9,reg1,HFO_PP,Oil,353.91414241121595
153,2026,10,reg1,HFO_PP,Oil,430.99194562967875
154,2026,11,reg1,HFO_PP,Oil,437.8623836910006
155,2026,12,reg1,HFO_PP,Oil,426.8052394661482
156,2026,13,reg1,HFO_PP,Oil,389.12391793676886
157,2026,14,reg1,HFO_PP,Oil,333.3282109527878
158,2026,15,reg1,HFO_PP,Oil,294.7077260191635
159,2026,16,reg1,HFO_PP,Oil,250.29571400640646
160,2026,17,reg1,HFO_PP,Oil,197.69779854435097
161,2026,18,reg1,HFO_PP,Oil,117.407758324352
162,2026,19,reg1,HFO_PP,Oil,230.30188041962566
163,2026,20,reg1,HFO_PP,Oil,495.1415199572898
164,2026,21,reg1,HFO_PP,Oil,535.1056331531395
165,2026,22,reg1,HFO_PP,Oil,442.45832509503975
166,2026,23,reg1,HFO_PP,Oil,207.69508408140754
167,2026,24,reg1,HFO_PP,Oil,0.0
168,2027,1,reg1,HFO_PP,Oil,0.0
169,2027,2,reg1,HFO_PP,Oil,0.0
170,2027,3,reg1,HFO_PP,Oil,0.0
171,2027,4,reg1,HFO_PP,Oil,0.0
172,2027,5,reg1,HFO_PP,Oil,0.0
173,2027,6,reg1,HFO_PP,Oil,0.0
174,2027,7,reg1,HFO_PP,Oil,0.0
175,2027,8,reg1,HFO_PP,Oil,157.8027169463286
176,2027,9,reg1,HFO_PP,Oil,369.4743223869623
177,2027,10,reg1,HFO_PP,Oil,450.6292557839417
178,2027,11,reg1,HFO_PP,Oil,459.62370777059783
179,2027,12,reg1,HFO_PP,Oil,449.1121623251665
180,2027,13,reg1,HFO_PP,Oil,409.60191726087936
181,2027,14,reg1,HFO_PP,Oil,350.3553510708706
182,2027,15,reg1,HFO_PP,Oil,306.4975424452936
183,2027,16,reg1,HFO_PP,Oil,257.8332566769697
184,2027,17,reg1,HFO_PP,Oil,200.951223172611
185,2027,18,reg1,HFO_PP,Oil,115.0534040582893
186,2027,19,reg1,HFO_PP,Oil,226.71939816175293
187,2027,20,reg1,HFO_PP,Oil,535.7572842994036
188,2027,21,reg1,HFO_PP,Oil,575.1990656252937
189,2027,22,reg1,HFO_PP,Oil,454.64513362915295
190,2027,23,reg1,HFO_PP,Oil,217.71860406987813
191,2027,24,reg1,HFO_PP,Oil,0.0
192,2028,1,reg1,HFO_PP,Oil,0.0
193,2028,2,reg1,HFO_PP,Oil,0.0
194,2028,3,reg1,HFO_PP,Oil,0.0
195,2028,4,reg1,HFO_PP,Oil,0.0
196,2028,5,reg1,HFO_PP,Oil,0.0
197,2028,6,reg1,HFO_PP,Oil,0.0
198,2028,7,reg1,HFO_PP,Oil,0.0
199,2028,8,reg1,HFO_PP,Oil,61.18542828559146
200,2028,9,reg1,HFO_PP,Oil,289.302792719313
201,2028,10,reg1,HFO_PP,Oil,378.39641661427237
202,2028,11,reg1,HFO_PP,Oil,391.52659359089535
203,2028,12,reg1,HFO_PP,Oil,382.0773982928118
204,2028,13,reg1,HFO_PP,Oil,339.00600672292103
205,2028,14,reg1,HFO_PP,Oil,273.0401791923917
206,2028,15,reg1,HFO_PP,Oil,218.98463588391027
207,2028,16,reg1,HFO_PP,Oil,162.04063281932955
208,2028,17,reg1,HFO_PP,Oil,96.81687714630277
209,2028,18,reg1,HFO_PP,Oil,0.0
210,2028,19,reg1,HFO_PP,Oil,109.2746728573907
211,2028,20,reg1,HFO_PP,Oil,483.6248852964601
212,2028,21,reg1,HFO_PP,Oil,537.4703984839581
213,2028,22,reg1,HFO_PP,Oil,378.2385288497045
214,2028,23,reg1,HFO_PP,Oil,126.76649391863617
215,2028,24,reg1,HFO_PP,Oil,0.0
216,2029,1,reg1,HFO_PP,Oil,0.0
217,2029,2,reg1,HFO_PP,Oil,0.0
218,2029,3,reg1,HFO_PP,Oil,0.0
219,2029,4,reg1,HFO_PP,Oil,0.0
220,2029,5,reg1,HFO_PP,Oil,0.0
221,2029,6,reg1,HFO_PP,Oil,0.0
222,2029,7,reg1,HFO_PP,Oil,0.0
223,2029,8,reg1,HFO_PP,Oil,172.0307442602612
224,2029,9,reg1,HFO_PP,Oil,400.5946823384615
225,2029,10,reg1,HFO_PP,Oil,489.9038760924686
226,2029,11,reg1,HFO_PP,Oil,503.1463559297927
227,2029,12,reg1,HFO_PP,Oil,493.7260080432042
228,2029,13,reg1,HFO_PP,Oil,450.5579159091006
229,2029,14,reg1,HFO_PP,Oil,384.40963130703716
230,2029,15,reg1,HFO_PP,Oil,330.0771752975533
231,2029,16,reg1,HFO_PP,Oil,272.90834201809673
232,2029,17,reg1,HFO_PP,Oil,207.45807242913224
233,2029,18,reg1,HFO_PP,Oil,110.34469552616461
234,2029,19,reg1,HFO_PP,Oil,239.1119771961633
235,2029,20,reg1,HFO_PP,Oil,647.6433503095099
236,2029,21,reg1,HFO_PP,Oil,701.8799872532442
237,2029,22,reg1,HFO_PP,Oil,542.7677165176183
238,2029,23,reg1,HFO_PP,Oil,237.76564404682017
239,2029,24,reg1,HFO_PP,Oil,0.0
240,2030,1,reg1,HFO_PP,Oil,0.0
241,2030,2,reg1,HFO_PP,Oil,0.0
242,2030,3,reg1,HFO_PP,Oil,0.0
243,2030,4,reg1,HFO_PP,Oil,0.0
244,2030,5,reg1,HFO_PP,Oil,0.0
245,2030,6,reg1,HFO_PP,Oil,0.0
246,2030,7,reg1,HFO_PP,Oil,116.63606903030292
247,2030,8,reg1,HFO_PP,Oil,288.66681329056416
248,2030,9,reg1,HFO_PP,Oil,517.2307513687645
249,2030,10,reg1,HFO_PP,Oil,607.0687173223083
250,2030,11,reg1,HFO_PP,Oil,619.782424960098
251,2030,12,reg1,HFO_PP,Oil,610.3620770735071
252,2030,13,reg1,HFO_PP,Oil,567.193984939404
253,2030,14,reg1,HFO_PP,Oil,501.0457003373401
254,2030,15,reg1,HFO_PP,Oil,446.7132443278586
255,2030,16,reg1,HFO_PP,Oil,389.54441104840015
256,2030,17,reg1,HFO_PP,Oil,324.09414145943515
257,2030,18,reg1,HFO_PP,Oil,226.98076455646753
