,Year,Region,Technology,Carrier,Value
0,2020,reg1,HFO_PP,Oil,4131650.5233035358
1,2021,reg1,HFO_PP,Oil,2755892.5817643562
2,2022,reg1,HFO_PP,Oil,2815122.6912584146
3,2023,reg1,HFO_PP,Oil,2874352.8007524735
4,2024,reg1,HFO_PP,Oil,2933582.91024653
5,2025,reg1,HFO_PP,Oil,2992813.0197405824
6,2026,reg1,HFO_PP,Oil,3052043.129234644
7,2027,reg1,HFO_PP,Oil,3164911.7068049135
8,2028,reg1,HFO_PP,Oil,3305396.364059958
9,2029,reg1,HFO_PP,Oil,3582823.8655650187
10,2030,reg1,HFO_PP,Oil,4549374.7841765685
11,2031,reg1,HFO_PP,Oil,2409994.624927514
12,2032,reg1,HFO_PP,Oil,3242745.737000773
13,2033,reg1,HFO_PP,Oil,4019155.4829734415
14,2034,reg1,HFO_PP,Oil,4135916.2143546864
15,2035,reg1,HFO_PP,Oil,4236760.558813123
16,2036,reg1,HFO_PP,Oil,4314874.385187754
17,2037,reg1,HFO_PP,Oil,4392988.211562397
18,2038,reg1,HFO_PP,Oil,4471929.563461432
19,2039,reg1,HFO_PP,Oil,4613186.912693568
20,2040,reg1,HFO_PP,Oil,4754444.261925694
21,2041,reg1,HFO_PP,Oil,4896238.165044665
22,2042,reg1,HFO_PP,Oil,5040429.572368687
23,2043,reg1,HFO_PP,Oil,5184620.979692707
24,2044,reg1,HFO_PP,Oil,5328812.387016723
25,2045,reg1,HFO_PP,Oil,5438883.910347278
26,2046,reg1,HFO_PP,Oil,5528543.263804557
27,2047,reg1,HFO_PP,Oil,5618202.617261835
28,2048,reg1,HFO_PP,Oil,5707861.970719118
29,2049,reg1,HFO_PP,Oil,5797521.324176398
30,2050,reg1,HFO_PP,Oil,8743789.093374122
31,2020,reg1,OCGT_PP,Natural_gas,0.0
32,2021,reg1,OCGT_PP,Natural_gas,0.0
33,2022,reg1,OCGT_PP,Natural_gas,0.0
34,2023,reg1,OCGT_PP,Natural_gas,0.0
35,2024,reg1,OCGT_PP,Natural_gas,0.0
36,2025,reg1,OCGT_PP,Natural_gas,0.0
37,2026,reg1,OCGT_PP,Natural_gas,0.0
38,2027,reg1,OCGT_PP,Natural_gas,0.0
39,2028,reg1,OCGT_PP,Natural_gas,0.0
40,2029,reg1,OCGT_PP,Natural_gas,0.0
41,2030,reg1,OCGT_PP,Natural_gas,0.0
42,2031,reg1,OCGT_PP,Natural_gas,0.0
43,2032,reg1,OCGT_PP,Natural_gas,0.0
44,2033,reg1,OCGT_PP,Natural_gas,0.0
45,2034,reg1,OCGT_PP,Natural_gas,0.0
46,2035,reg1,OCGT_PP,Natural_gas,0.0
47,2036,reg1,OCGT_PP,Natural_gas,0.0
48,2037,reg1,OCGT_PP,Natural_gas,0.0
49,2038,reg1,OCGT_PP,Natural_gas,0.0
50,2039,reg1,OCGT_PP,Natural_gas,0.0
51,2040,reg1,OCGT_PP,Natural_gas,0.0
52,2041,reg1,OCGT_PP,Natural_gas,0.0
53,2042,reg1,OCGT_PP,Natural_gas,0.0
54,2043,reg1,OCGT_PP,Natural_gas,0.0
55,2044,reg1,OCGT_PP,Natural_gas,0.0
56,2045,reg1,OCGT_PP,Natural_gas,0.0
57,2046,reg1,OCGT_PP,Natural_gas,0.0
58,2047,reg1,OCGT_PP,Natural_gas,0.0
59,2048,reg1,OCGT_PP,Natural_gas,0.0
60,2049,reg1,OCGT_PP,Natural_gas,0.0
61,2050,reg1,OCGT_PP,Natural_gas,570326643.4685196
62,2020,reg1,Nuclear_PP,Uranium,0.0
63,2021,reg1,Nuclear_PP,Uranium,0.0
64,2022,reg1,Nuclear_PP,Uranium,0.0
65,2023,reg1,Nuclear_PP,Uranium,0.0
66,2024,reg1,Nuclear_PP,Uranium,0.0
67,2025,reg1,Nuclear_PP,Uranium,0.0
68,2026,reg1,Nuclear_PP,Uranium,0.0
69,2027,reg1,Nuclear_PP,Uranium,0.0
70,2028,reg1,Nuclear_PP,Uranium,0.0
71,2029,reg1,Nuclear_PP,Uranium,0.0
72,2030,reg1,Nuclear_PP,Uranium,0.0
73,2031,reg1,Nuclear_PP,Uranium,0.0
74,2032,reg1,Nuclear_PP,Uranium,0.0
75,2033,reg1,Nuclear_PP,Uranium,0.0
76,2034,reg1,Nuclear_PP,Uranium,0.0
77,2035,reg1,Nuclear_PP,Uranium,0.0
78,2036,reg1,Nuclear_PP,Uranium,0.0
79,2037,reg1,Nuclear_PP,Uranium,0.0
80,2038,reg1,Nuclear_PP,Uranium,0.0
81,2039,reg1,Nuclear_PP,Uranium,0.0
82,2040,reg1,Nuclear_PP,Uranium,0.0
83,2041,reg1,Nuclear_PP,Uranium,0.0
84,2042,reg1,Nuclear_PP,Uranium,0.0
85,2043,reg1,Nuclear_PP,Uranium,0.0
86,2044,reg1,Nuclear_PP,Uranium,0.0
87,2045,reg1,Nuclear_PP,Uranium,0.0
88,2046,reg1,Nuclear_PP,Uranium,0.0
89,2047,reg1,Nuclear_PP,Uranium,0.0
90,2048,reg1,Nuclear_PP,Uranium,0.0
91,2049,reg1,Nuclear_PP,Uranium,0.0
92,2050,reg1,Nuclear_PP,Uranium,0.0
