,Year,Timesteps,Region,Technology,Carrier,Value
0,2020,1,reg1,HFO_PP,Oil,1380.2422306794672
1,2020,2,reg1,HFO_PP,Oil,1288.7297226080675
2,2020,3,reg1,HFO_PP,Oil,1240.5073822510726
3,2020,4,reg1,HFO_PP,Oil,1212.3130728933859
4,2020,5,reg1,HFO_PP,Oil,1245.127146850857
5,2020,6,reg1,HFO_PP,Oil,1422.2222222222283
6,2020,7,reg1,HFO_PP,Oil,1422.2222222222283
7,2020,8,reg1,HFO_PP,Oil,1422.2222222222283
8,2020,9,reg1,HFO_PP,Oil,1422.2222222222283
9,2020,10,reg1,HFO_PP,Oil,1422.2222222222283
10,2020,11,reg1,HFO_PP,Oil,1422.2222222222283
11,2020,12,reg1,HFO_PP,Oil,1422.2222222222283
12,2020,13,reg1,HFO_PP,Oil,1422.2222222222283
13,2020,14,reg1,HFO_PP,Oil,1422.2222222222283
14,2020,15,reg1,HFO_PP,Oil,1422.2222222222283
15,2020,16,reg1,HFO_PP,Oil,1422.2222222222283
16,2020,17,reg1,HFO_PP,Oil,1422.2222222222283
17,2020,18,reg1,HFO_PP,Oil,1422.2222222222283
18,2020,19,reg1,HFO_PP,Oil,1422.2222222222283
19,2020,20,reg1,HFO_PP,Oil,1422.2222222222283
20,2020,21,reg1,HFO_PP,Oil,1422.2222222222283
21,2020,22,reg1,HFO_PP,Oil,1422.2222222222283
22,2020,23,reg1,HFO_PP,Oil,1422.2222222222283
23,2020,24,reg1,HFO_PP,Oil,1422.2222222222283
24,2021,1,reg1,HFO_PP,Oil,0.0
25,2021,2,reg1,HFO_PP,Oil,0.0
26,2021,3,reg1,HFO_PP,Oil,0.0
27,2021,4,reg1,HFO_PP,Oil,0.0
28,2021,5,reg1,HFO_PP,Oil,0.0
29,2021,6,reg1,HFO_PP,Oil,0.0
30,2021,7,reg1,HFO_PP,Oil,364.93521897926
31,2021,8,reg1,HFO_PP,Oil,633.5164489138193
32,2021,9,reg1,HFO_PP,Oil,1050.6267135770656
33,2021,10,reg1,HFO_PP,Oil,1199.6868429901317
34,2021,11,reg1,HFO_PP,Oil,1194.8908797473907
35,2021,12,reg1,HFO_PP,Oil,1166.4783229020763
36,2021,13,reg1,HFO_PP,Oil,1090.7187111920396
37,2021,14,reg1,HFO_PP,Oil,953.0951518443911
38,2021,15,reg1,HFO_PP,Oil,899.9986665432901
39,2021,16,reg1,HFO_PP,Oil,830.7779674411586
40,2021,17,reg1,HFO_PP,Oil,745.3322661702639
41,2021,18,reg1,HFO_PP,Oil,610.6044986534429
42,2021,19,reg1,HFO_PP,Oil,987.8595726939658
43,2021,20,reg1,HFO_PP,Oil,1422.2222222222283
44,2021,21,reg1,HFO_PP,Oil,1422.2222222222283
45,2021,22,reg1,HFO_PP,Oil,1422.2222222222283
46,2021,23,reg1,HFO_PP,Oil,734.1161516823844
47,2021,24,reg1,HFO_PP,Oil,301.30997429357785
48,2022,1,reg1,HFO_PP,Oil,0.0
49,2022,2,reg1,HFO_PP,Oil,0.0
50,2022,3,reg1,HFO_PP,Oil,0.0
51,2022,4,reg1,HFO_PP,Oil,0.0
52,2022,5,reg1,HFO_PP,Oil,0.0
53,2022,6,reg1,HFO_PP,Oil,0.0
54,2022,7,reg1,HFO_PP,Oil,374.76462162530555
55,2022,8,reg1,HFO_PP,Oil,665.3908428099675
56,2022,9,reg1,HFO_PP,Oil,1101.833615976928
57,2022,10,reg1,HFO_PP,Oil,1260.154454827218
58,2022,11,reg1,HFO_PP,Oil,1258.3336373506802
59,2022,12,reg1,HFO_PP,Oil,1229.01228517374
60,2022,13,reg1,HFO_PP,Oil,1146.0004558186454
61,2022,14,reg1,HFO_PP,Oil,995.5438873940776
62,2022,15,reg1,HFO_PP,Oil,932.414125579881
63,2022,16,reg1,HFO_PP,Oil,855.0472356160828
64,2022,17,reg1,HFO_PP,Oil,761.3943385594465
65,2022,18,reg1,HFO_PP,Oil,615.9236039127752
66,2022,19,reg1,HFO_PP,Oil,963.5433155821596
67,2022,20,reg1,HFO_PP,Oil,1422.2222222222283
68,2022,21,reg1,HFO_PP,Oil,1422.2222222222283
69,2022,22,reg1,HFO_PP,Oil,1422.2222222222283
