# Renewables.ninja Wind (Point API) - 39.382; -0.348 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068;;;;;;;;;;;;
# Units: time in UTC; local_time in Europe/Madrid; electricity in kW;;;;;;;;;;;
"# {""units"": {""time"": ""UTC""";" ""local_time"": ""Europe/Madrid""";" ""electricity"": ""kW""}";" ""params"": {""local_time"": true";" ""header"": true";" ""lat"": ""39.38217""";" ""lon"": ""-0.34797""";" ""date_from"": ""2019-01-01""";" ""date_to"": ""2019-12-31""";" ""dataset"": ""merra2""";" ""capacity"": ""1""";" ""height"": ""80""";" ""turbine"": ""Vestas V90 2000""";" ""raw"": false}}"
time;local_time;electricity;;;;;;;;;;;
01/01/2019 00:00;01/01/2019 01:00;0.253;;;;;;;;;;;
01/01/2019 01:00;01/01/2019 02:00;0.195;;;;;;;;;;;
01/01/2019 02:00;01/01/2019 03:00;0.155;;;;;;;;;;;
01/01/2019 03:00;01/01/2019 04:00;0.144;;;;;;;;;;;
01/01/2019 04:00;01/01/2019 05:00;0.152;;;;;;;;;;;
01/01/2019 05:00;01/01/2019 06:00;0.169;;;;;;;;;;;
01/01/2019 06:00;01/01/2019 07:00;0.194;;;;;;;;;;;
01/01/2019 07:00;01/01/2019 08:00;0.222;;;;;;;;;;;
01/01/2019 08:00;01/01/2019 09:00;0.22;;;;;;;;;;;
01/01/2019 09:00;01/01/2019 10:00;0.147;;;;;;;;;;;
01/01/2019 10:00;01/01/2019 11:00;0.1;;;;;;;;;;;
01/01/2019 11:00;01/01/2019 12:00;0.086;;;;;;;;;;;
01/01/2019 12:00;01/01/2019 13:00;0.076;;;;;;;;;;;
01/01/2019 13:00;01/01/2019 14:00;0.063;;;;;;;;;;;
01/01/2019 14:00;01/01/2019 15:00;0.053;;;;;;;;;;;
01/01/2019 15:00;01/01/2019 16:00;0.058;;;;;;;;;;;
01/01/2019 16:00;01/01/2019 17:00;0.061;;;;;;;;;;;
01/01/2019 17:00;01/01/2019 18:00;0.029;;;;;;;;;;;
01/01/2019 18:00;01/01/2019 19:00;0.005;;;;;;;;;;;
01/01/2019 19:00;01/01/2019 20:00;0.014;;;;;;;;;;;
01/01/2019 20:00;01/01/2019 21:00;0.038;;;;;;;;;;;
01/01/2019 21:00;01/01/2019 22:00;0.067;;;;;;;;;;;
01/01/2019 22:00;01/01/2019 23:00;0.09;;;;;;;;;;;
01/01/2019 23:00;02/01/2019 00:00;0.107;;;;;;;;;;;
02/01/2019 00:00;02/01/2019 01:00;0.127;;;;;;;;;;;
02/01/2019 01:00;02/01/2019 02:00;0.158;;;;;;;;;;;
02/01/2019 02:00;02/01/2019 03:00;0.181;;;;;;;;;;;
02/01/2019 03:00;02/01/2019 04:00;0.2;;;;;;;;;;;
02/01/2019 04:00;02/01/2019 05:00;0.21;;;;;;;;;;;
