# Renewables.ninja Wind (Point API) - 42.505; 1.512 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068;;;;;;;;;;;;
# Units: time in UTC; local_time in Europe/Andorra; electricity in kW;;;;;;;;;;;
"# {""units"": {""time"": ""UTC""";" ""local_time"": ""Europe/Andorra""";" ""electricity"": ""kW""}";" ""params"": {""local_time"": true";" ""header"": true";" ""lat"": ""42.5051""";" ""lon"": ""1.51161""";" ""date_from"": ""2019-01-01""";" ""date_to"": ""2019-12-31""";" ""dataset"": ""merra2""";" ""capacity"": ""1""";" ""height"": ""80""";" ""turbine"": ""Vestas V90 2000""";" ""raw"": false}}"
time;local_time;electricity;;;;;;;;;;;
01/01/2019 00:00;01/01/2019 01:00;0.223;;;;;;;;;;;
01/01/2019 01:00;01/01/2019 02:00;0.191;;;;;;;;;;;
01/01/2019 02:00;01/01/2019 03:00;0.156;;;;;;;;;;;
01/01/2019 03:00;01/01/2019 04:00;0.128;;;;;;;;;;;
01/01/2019 04:00;01/01/2019 05:00;0.113;;;;;;;;;;;
01/01/2019 05:00;01/01/2019 06:00;0.099;;;;;;;;;;;
01/01/2019 06:00;01/01/2019 07:00;0.084;;;;;;;;;;;
01/01/2019 07:00;01/01/2019 08:00;0.072;;;;;;;;;;;
01/01/2019 08:00;01/01/2019 09:00;0.064;;;;;;;;;;;
01/01/2019 09:00;01/01/2019 10:00;0.047;;;;;;;;;;;
01/01/2019 10:00;01/01/2019 11:00;0.027;;;;;;;;;;;
01/01/2019 11:00;01/01/2019 12:00;0.026;;;;;;;;;;;
01/01/2019 12:00;01/01/2019 13:00;0.041;;;;;;;;;;;
01/01/2019 13:00;01/01/2019 14:00;0.048;;;;;;;;;;;
01/01/2019 14:00;01/01/2019 15:00;0.05;;;;;;;;;;;
01/01/2019 15:00;01/01/2019 16:00;0.054;;;;;;;;;;;
01/01/2019 16:00;01/01/2019 17:00;0.063;;;;;;;;;;;
01/01/2019 17:00;01/01/2019 18:00;0.092;;;;;;;;;;;
01/01/2019 18:00;01/01/2019 19:00;0.134;;;;;;;;;;;
01/01/2019 19:00;01/01/2019 20:00;0.185;;;;;;;;;;;
01/01/2019 20:00;01/01/2019 21:00;0.239;;;;;;;;;;;
01/01/2019 21:00;01/01/2019 22:00;0.28;;;;;;;;;;;
01/01/2019 22:00;01/01/2019 23:00;0.321;;;;;;;;;;;
01/01/2019 23:00;02/01/2019 00:00;0.367;;;;;;;;;;;
02/01/2019 00:00;02/01/2019 01:00;0.419;;;;;;;;;;;
02/01/2019 01:00;02/01/2019 02:00;0.451;;;;;;;;;;;
02/01/2019 02:00;02/01/2019 03:00;0.474;;;;;;;;;;;
