,Datetime,Region,Technology,Tech category,Value
0,2019,reg1,Kerosene_supply,Supply,1e+20
1,2020,reg1,Kerosene_supply,Supply,1e+20
2,2021,reg1,Kerosene_supply,Supply,1e+20
3,2022,reg1,Kerosene_supply,Supply,1e+20
4,2023,reg1,Kerosene_supply,Supply,1e+20
5,2024,reg1,Kerosene_supply,Supply,1e+20
6,2025,reg1,Kerosene_supply,Supply,1e+20
7,2026,reg1,Kerosene_supply,Supply,1e+20
8,2027,reg1,Kerosene_supply,Supply,1e+20
9,2028,reg1,Kerosene_supply,Supply,1e+20
10,2029,reg1,Kerosene_supply,Supply,1e+20
11,2030,reg1,Kerosene_supply,Supply,1e+20
12,2031,reg1,Kerosene_supply,Supply,1e+20
13,2032,reg1,Kerosene_supply,Supply,1e+20
14,2033,reg1,Kerosene_supply,Supply,1e+20
15,2034,reg1,Kerosene_supply,Supply,1e+20
16,2035,reg1,Kerosene_supply,Supply,1e+20
17,2036,reg1,Kerosene_supply,Supply,1e+20
18,2037,reg1,Kerosene_supply,Supply,1e+20
19,2038,reg1,Kerosene_supply,Supply,1e+20
20,2039,reg1,Kerosene_supply,Supply,1e+20
21,2040,reg1,Kerosene_supply,Supply,1e+20
22,2019,reg1,Oil_supply,Supply,1e+20
23,2020,reg1,Oil_supply,Supply,1e+20
24,2021,reg1,Oil_supply,Supply,1e+20
25,2022,reg1,Oil_supply,Supply,1e+20
26,2023,reg1,Oil_supply,Supply,1e+20
27,2024,reg1,Oil_supply,Supply,1e+20
28,2025,reg1,Oil_supply,Supply,1e+20
29,2026,reg1,Oil_supply,Supply,1e+20
30,2027,reg1,Oil_supply,Supply,1e+20
31,2028,reg1,Oil_supply,Supply,1e+20
32,2029,reg1,Oil_supply,Supply,1e+20
33,2030,reg1,Oil_supply,Supply,1e+20
34,2031,reg1,Oil_supply,Supply,1e+20
35,2032,reg1,Oil_supply,Supply,1e+20
36,2033,reg1,Oil_supply,Supply,1e+20
37,2034,reg1,Oil_supply,Supply,1e+20
38,2035,reg1,Oil_supply,Supply,1e+20
39,2036,reg1,Oil_supply,Supply,1e+20
40,2037,reg1,Oil_supply,Supply,1e+20
41,2038,reg1,Oil_supply,Supply,1e+20
42,2039,reg1,Oil_supply,Supply,1e+20
43,2040,reg1,Oil_supply,Supply,1e+20
44,2019,reg1,BW_supply,Supply,1e+20
45,2020,reg1,BW_supply,Supply,1e+20
46,2021,reg1,BW_supply,Supply,1e+20
47,2022,reg1,BW_supply,Supply,1e+20
48,2023,reg1,BW_supply,Supply,1e+20
49,2024,reg1,BW_supply,Supply,1e+20
50,2025,reg1,BW_supply,Supply,1e+20
51,2026,reg1,BW_supply,Supply,1e+20
52,2027,reg1,BW_supply,Supply,1e+20
53,2028,reg1,BW_supply,Supply,1e+20
54,2029,reg1,BW_supply,Supply,1e+20
55,2030,reg1,BW_supply,Supply,1e+20
56,2031,reg1,BW_supply,Supply,1e+20
57,2032,reg1,BW_supply,Supply,1e+20
58,2033,reg1,BW_supply,Supply,1e+20
59,2034,reg1,BW_supply,Supply,1e+20
60,2035,reg1,BW_supply,Supply,1e+20
61,2036,reg1,BW_supply,Supply,1e+20
62,2037,reg1,BW_supply,Supply,1e+20
63,2038,reg1,BW_supply,Supply,1e+20
64,2039,reg1,BW_supply,Supply,1e+20
65,2040,reg1,BW_supply,Supply,1e+20
66,2019,reg1,Diesel_supply,Supply,1e+20
67,2020,reg1,Diesel_supply,Supply,1e+20
68,2021,reg1,Diesel_supply,Supply,1e+20
69,2022,reg1,Diesel_supply,Supply,1e+20
70,2023,reg1,Diesel_supply,Supply,1e+20
71,2024,reg1,Diesel_supply,Supply,1e+20
72,2025,reg1,Diesel_supply,Supply,1e+20
73,2026,reg1,Diesel_supply,Supply,1e+20
74,2027,reg1,Diesel_supply,Supply,1e+20
75,2028,reg1,Diesel_supply,Supply,1e+20
76,2029,reg1,Diesel_supply,Supply,1e+20
77,2030,reg1,Diesel_supply,Supply,1e+20
78,2031,reg1,Diesel_supply,Supply,1e+20
79,2032,reg1,Diesel_supply,Supply,1e+20
80,2033,reg1,Diesel_supply,Supply,1e+20
81,2034,reg1,Diesel_supply,Supply,1e+20
82,2035,reg1,Diesel_supply,Supply,1e+20
83,2036,reg1,Diesel_supply,Supply,1e+20
84,2037,reg1,Diesel_supply,Supply,1e+20
85,2038,reg1,Diesel_supply,Supply,1e+20
86,2039,reg1,Diesel_supply,Supply,1e+20
87,2040,reg1,Diesel_supply,Supply,1e+20
88,2019,reg1,NG_supply,Supply,1e+20
89,2020,reg1,NG_supply,Supply,1e+20
90,2021,reg1,NG_supply,Supply,1e+20
91,2022,reg1,NG_supply,Supply,1e+20
92,2023,reg1,NG_supply,Supply,1e+20
93,2024,reg1,NG_supply,Supply,1e+20
94,2025,reg1,NG_supply,Supply,1e+20
95,2026,reg1,NG_supply,Supply,1e+20
96,2027,reg1,NG_supply,Supply,1e+20
97,2028,reg1,NG_supply,Supply,1e+20
98,2029,reg1,NG_supply,Supply,1e+20
99,2030,reg1,NG_supply,Supply,1e+20
100,2031,reg1,NG_supply,Supply,1e+20
101,2032,reg1,NG_supply,Supply,1e+20
102,2033,reg1,NG_supply,Supply,1e+20
103,2034,reg1,NG_supply,Supply,1e+20
104,2035,reg1,NG_supply,Supply,1e+20
105,2036,reg1,NG_supply,Supply,1e+20
106,2037,reg1,NG_supply,Supply,1e+20
107,2038,reg1,NG_supply,Supply,1e+20
108,2039,reg1,NG_supply,Supply,1e+20
109,2040,reg1,NG_supply,Supply,1e+20
110,2019,reg1,Geo_PP,Supply,0.0
111,2020,reg1,Geo_PP,Supply,0.0
112,2021,reg1,Geo_PP,Supply,0.0
113,2022,reg1,Geo_PP,Supply,0.0
114,2023,reg1,Geo_PP,Supply,0.0
115,2024,reg1,Geo_PP,Supply,0.0
116,2025,reg1,Geo_PP,Supply,0.0
117,2026,reg1,Geo_PP,Supply,0.0
118,2027,reg1,Geo_PP,Supply,0.0
119,2028,reg1,Geo_PP,Supply,0.0
120,2029,reg1,Geo_PP,Supply,0.0
121,2030,reg1,Geo_PP,Supply,0.0
122,2031,reg1,Geo_PP,Supply,0.0
123,2032,reg1,Geo_PP,Supply,0.0
124,2033,reg1,Geo_PP,Supply,0.0
125,2034,reg1,Geo_PP,Supply,0.0
126,2035,reg1,Geo_PP,Supply,0.0
127,2036,reg1,Geo_PP,Supply,0.0
128,2037,reg1,Geo_PP,Supply,0.0
129,2038,reg1,Geo_PP,Supply,0.0
130,2039,reg1,Geo_PP,Supply,0.0
131,2040,reg1,Geo_PP,Supply,0.0
132,2019,reg1,Solar_PV_PP,Supply,0.0
133,2020,reg1,Solar_PV_PP,Supply,0.0
134,2021,reg1,Solar_PV_PP,Supply,0.0
135,2022,reg1,Solar_PV_PP,Supply,116499.83615750163
136,2023,reg1,Solar_PV_PP,Supply,229356.80062178912
137,2024,reg1,Solar_PV_PP,Supply,229356.80062178912
138,2025,reg1,Solar_PV_PP,Supply,229356.80062178912
139,2026,reg1,Solar_PV_PP,Supply,229356.80062178912
140,2027,reg1,Solar_PV_PP,Supply,229356.80062178912
141,2028,reg1,Solar_PV_PP,Supply,229356.80062178912
142,2029,reg1,Solar_PV_PP,Supply,229356.80062178912
143,2030,reg1,Solar_PV_PP,Supply,229356.80062178912
144,2031,reg1,Solar_PV_PP,Supply,229356.80062178912
145,2032,reg1,Solar_PV_PP,Supply,229356.80062178912
146,2033,reg1,Solar_PV_PP,Supply,229356.80062178912
147,2034,reg1,Solar_PV_PP,Supply,229356.80062178912
148,2035,reg1,Solar_PV_PP,Supply,229356.80062178912
149,2036,reg1,Solar_PV_PP,Supply,229356.80062178912
150,2037,reg1,Solar_PV_PP,Supply,356492.81195337535
151,2038,reg1,Solar_PV_PP,Supply,635011.5029583031
152,2039,reg1,Solar_PV_PP,Supply,903743.6972701931
153,2040,reg1,Solar_PV_PP,Supply,903743.6972701931
154,2019,reg1,Wind_PP,Supply,127500.0
155,2020,reg1,Wind_PP,Supply,127500.0
156,2021,reg1,Wind_PP,Supply,127500.0
157,2022,reg1,Wind_PP,Supply,127500.0
158,2023,reg1,Wind_PP,Supply,127500.0
159,2024,reg1,Wind_PP,Supply,391491.91980733984
160,2025,reg1,Wind_PP,Supply,500000.0
161,2026,reg1,Wind_PP,Supply,500000.0
162,2027,reg1,Wind_PP,Supply,500000.0
163,2028,reg1,Wind_PP,Supply,500000.0
164,2029,reg1,Wind_PP,Supply,500000.0
165,2030,reg1,Wind_PP,Supply,500000.0
166,2031,reg1,Wind_PP,Supply,500000.0
167,2032,reg1,Wind_PP,Supply,500000.0
168,2033,reg1,Wind_PP,Supply,500000.0
169,2034,reg1,Wind_PP,Supply,500000.0
170,2035,reg1,Wind_PP,Supply,500000.0
171,2036,reg1,Wind_PP,Supply,500000.0
172,2037,reg1,Wind_PP,Supply,500000.0
173,2038,reg1,Wind_PP,Supply,500000.0
174,2039,reg1,Wind_PP,Supply,500000.0
175,2040,reg1,Wind_PP,Supply,500000.0
176,2019,reg1,S_ROR_Hydro_PP,Supply,0.0
177,2020,reg1,S_ROR_Hydro_PP,Supply,0.0
178,2021,reg1,S_ROR_Hydro_PP,Supply,0.0
179,2022,reg1,S_ROR_Hydro_PP,Supply,0.0
180,2023,reg1,S_ROR_Hydro_PP,Supply,0.0
181,2024,reg1,S_ROR_Hydro_PP,Supply,0.0
182,2025,reg1,S_ROR_Hydro_PP,Supply,0.0
183,2026,reg1,S_ROR_Hydro_PP,Supply,0.0
184,2027,reg1,S_ROR_Hydro_PP,Supply,0.0
185,2028,reg1,S_ROR_Hydro_PP,Supply,0.0
186,2029,reg1,S_ROR_Hydro_PP,Supply,0.0
187,2030,reg1,S_ROR_Hydro_PP,Supply,0.0
188,2031,reg1,S_ROR_Hydro_PP,Supply,0.0
189,2032,reg1,S_ROR_Hydro_PP,Supply,0.0
190,2033,reg1,S_ROR_Hydro_PP,Supply,0.0
191,2034,reg1,S_ROR_Hydro_PP,Supply,0.0
192,2035,reg1,S_ROR_Hydro_PP,Supply,0.0
193,2036,reg1,S_ROR_Hydro_PP,Supply,0.0
194,2037,reg1,S_ROR_Hydro_PP,Supply,0.0
195,2038,reg1,S_ROR_Hydro_PP,Supply,0.0
196,2039,reg1,S_ROR_Hydro_PP,Supply,0.0
197,2040,reg1,S_ROR_Hydro_PP,Supply,0.0
198,2019,reg1,L_ROR_Hydro_PP,Supply,130000.0
199,2020,reg1,L_ROR_Hydro_PP,Supply,130000.0
200,2021,reg1,L_ROR_Hydro_PP,Supply,130000.0
201,2022,reg1,L_ROR_Hydro_PP,Supply,130000.0
202,2023,reg1,L_ROR_Hydro_PP,Supply,130000.0
203,2024,reg1,L_ROR_Hydro_PP,Supply,130000.0
204,2025,reg1,L_ROR_Hydro_PP,Supply,130000.0
205,2026,reg1,L_ROR_Hydro_PP,Supply,130000.0
206,2027,reg1,L_ROR_Hydro_PP,Supply,130000.0
207,2028,reg1,L_ROR_Hydro_PP,Supply,130000.0
208,2029,reg1,L_ROR_Hydro_PP,Supply,130000.0
209,2030,reg1,L_ROR_Hydro_PP,Supply,130000.0
210,2031,reg1,L_ROR_Hydro_PP,Supply,130000.0
211,2032,reg1,L_ROR_Hydro_PP,Supply,130000.0
212,2033,reg1,L_ROR_Hydro_PP,Supply,130000.0
213,2034,reg1,L_ROR_Hydro_PP,Supply,130000.0
214,2035,reg1,L_ROR_Hydro_PP,Supply,130000.0
215,2036,reg1,L_ROR_Hydro_PP,Supply,130000.0
216,2037,reg1,L_ROR_Hydro_PP,Supply,130000.0
217,2038,reg1,L_ROR_Hydro_PP,Supply,130000.0
218,2039,reg1,L_ROR_Hydro_PP,Supply,130000.0
219,2040,reg1,L_ROR_Hydro_PP,Supply,130000.0
220,2019,reg1,L_DAM_Hydro_PP,Supply,0.0
221,2020,reg1,L_DAM_Hydro_PP,Supply,0.0
222,2021,reg1,L_DAM_Hydro_PP,Supply,0.0
223,2022,reg1,L_DAM_Hydro_PP,Supply,0.0
224,2023,reg1,L_DAM_Hydro_PP,Supply,0.0
225,2024,reg1,L_DAM_Hydro_PP,Supply,0.0
226,2025,reg1,L_DAM_Hydro_PP,Supply,0.0
227,2026,reg1,L_DAM_Hydro_PP,Supply,0.0
228,2027,reg1,L_DAM_Hydro_PP,Supply,0.0
229,2028,reg1,L_DAM_Hydro_PP,Supply,0.0
230,2029,reg1,L_DAM_Hydro_PP,Supply,0.0
231,2030,reg1,L_DAM_Hydro_PP,Supply,0.0
232,2031,reg1,L_DAM_Hydro_PP,Supply,0.0
233,2032,reg1,L_DAM_Hydro_PP,Supply,0.0
234,2033,reg1,L_DAM_Hydro_PP,Supply,0.0
235,2034,reg1,L_DAM_Hydro_PP,Supply,0.0
236,2035,reg1,L_DAM_Hydro_PP,Supply,0.0
237,2036,reg1,L_DAM_Hydro_PP,Supply,0.0
238,2037,reg1,L_DAM_Hydro_PP,Supply,0.0
239,2038,reg1,L_DAM_Hydro_PP,Supply,0.0
240,2039,reg1,L_DAM_Hydro_PP,Supply,0.0
241,2040,reg1,L_DAM_Hydro_PP,Supply,0.0
242,2019,reg1,HFO_PP,Conversion,189320.0
243,2020,reg1,HFO_PP,Conversion,189320.0
244,2021,reg1,HFO_PP,Conversion,189320.0
245,2022,reg1,HFO_PP,Conversion,189320.0
246,2023,reg1,HFO_PP,Conversion,189320.0
247,2024,reg1,HFO_PP,Conversion,189320.0
248,2025,reg1,HFO_PP,Conversion,189320.0
249,2026,reg1,HFO_PP,Conversion,189320.0
